# Hardware overhead of Fugue's additions over AttAcc, one HBM stack.
#
# Cadence Genus with the ASAP7 7 nm library at TT 0.7 V, a hierarchical
# leaf-as-macro flow.  Every one of the 13 synthesis points that the roll-up
# sums met timing with zero violations.  AttAcc's bank GEMV runs at 666 MHz
# and Fugue's at 1.3 GHz, the balanced frequency point of Figure 8; the
# logic-die softmax array is synthesized whole at 1.3 GHz for both.
#
# Two views of the same runs.  asap7_raw is the ASAP7 area as synthesized.
# dram_equivalent multiplies the bank and bank-group areas by 10, the DRAM
# density penalty AttAcc cites; the logic die and the HBM controller sit on
# the buffer die in a real logic process and are not multiplied.
#
# Levels per stack: bank = 1024 GEMV units; bank_group = 256 accumulators
# with their buffers; logic_die = the integrated softmax array plus 16
# per-channel accumulators, and for Fugue the diff decoder and the causal
# comparator; hbm_controller = one controller, Fugue's carrying the TLB.
#
# Current conventions (user ruling 2026-09-02): FP16 multiply and add are
# full IEEE-754 binary16 including subnormals; the bank-group accumulator is
# 16 lanes; the bank buffer is a flop array; each bank-group buffer takes
# whichever implementation is smaller at its size.  RoPE runs on the GPU, so
# the die carries no rotation logic.
#
# Caveats: synthesis level, no place and route or clock tree; a single TT
# 0.7 V corner; the x10 DRAM factor is AttAcc's cited convention, not a
# measurement here.  Fugue's logic-die buffer is configured at 256 KiB per
# channel, 4 MiB per die.
#
# Source: kvpim-rtl docs/0831-genus-hier/rollup.csv, regenerated by that
# directory's export_csv.py from the per-run Genus reports in
# syn/genus_0831_hier/<tag>/.  Reproduce with
# `cd syn/genus_0831_hier && ./run_all.sh`.
# PROVENANCE: synthesized by the author 2026-08-31 to 2026-09-01; the 13
# roll-up rows checked line by line against the RTL and the raw reports and
# signed off by the author 2026-09-02.
view,level,attacc_um2,fugue_um2,fugue_delta_pct
asap7_raw,bank,6354010.1,7519379.5,18.34
asap7_raw,bank_group,272709.9,420945.4,54.36
asap7_raw,logic_die,589141.6,1619597.8,174.91
asap7_raw,hbm_controller,2086.9,5773.8,176.67
asap7_raw,stack_total,7217948.5,9565696.5,32.53
dram_equivalent,bank,63540101.1,75193794.6,18.34
dram_equivalent,bank_group,2727098.9,4209454.1,54.36
dram_equivalent,logic_die,589141.6,1619597.8,174.91
dram_equivalent,hbm_controller,2086.9,5773.8,176.67
dram_equivalent,stack_total,66858428.5,81028620.3,21.19
